key,summary,assignee,priority,status,last_updated,url
"SERVER-110427","Update Profile Data Files","Unassigned","Trivial - P5","Backlog","2026-05-21","https://jira.mongodb.org/browse/SERVER-110427"
"SERVER-110685","Investigate/implement reduced contention in ObservableMutexRegistry::add","Unassigned","Minor - P4","Backlog","2025-09-17","https://jira.mongodb.org/browse/SERVER-110685"
"SERVER-114051","Deactivate SBOM Test Release task upload","Eduard Kovalets","Minor - P4","In Code Review","2025-11-18","https://jira.mongodb.org/browse/SERVER-114051"
"SERVER-94540","Improve C++ backtrace usability during local development","Alex Li","Major - P3","Open","2025-12-10","https://jira.mongodb.org/browse/SERVER-94540"
"SERVER-113097","Investigate speed of stacktraces when --dev_stacktrace is enabled","Alex Li","Major - P3","Open","2026-01-20","https://jira.mongodb.org/browse/SERVER-113097"
"SERVER-111560","add grpcurl to mock data plane image","Unassigned","Major - P3","Open","2025-09-29","https://jira.mongodb.org/browse/SERVER-111560"
"SERVER-106810","Oplog Visibility Manager - Creation & Lifetime","Unassigned","Major - P3","Open","2025-08-27","https://jira.mongodb.org/browse/SERVER-106810"
"SERVER-99433","Remove replica set endpoint code","Unassigned","Major - P3","Backlog","2026-01-08","https://jira.mongodb.org/browse/SERVER-99433"
"SERVER-115662","Running the symbol checker locally doesn't produce any errors","Unassigned","Major - P3","Backlog","2026-01-22","https://jira.mongodb.org/browse/SERVER-115662"
"SERVER-120952","Simplify and clean up the CMS manager API","Nic Hollingum","Major - P3","In Code Review","2026-03-06","https://jira.mongodb.org/browse/SERVER-120952"
"SERVER-114245","Investigate why the publishing of the crypt packaging is failing.","Patrice Arruda","Major - P3","Backlog","2025-12-16","https://jira.mongodb.org/browse/SERVER-114245"
"SERVER-108961","Stop mixing Timestamp and Date_t in ReplSetHeartbeatResponse","Unassigned","Major - P3","Backlog","2025-08-27","https://jira.mongodb.org/browse/SERVER-108961"
"SERVER-120227","Make CMSChannelManager and SLSConfigManager testable","Nic Hollingum","Major - P3","In Code Review","2026-02-26","https://jira.mongodb.org/browse/SERVER-120227"
"SERVER-120533","Grant permission for search to run fsync","Fiona Chang","Major - P3","Needs Verification","2026-03-02","https://jira.mongodb.org/browse/SERVER-120533"
"SERVER-121342","Add documentation for split horizon","Didier Nadeau","Major - P3","In Code Review","2026-03-11","https://jira.mongodb.org/browse/SERVER-121342"
"SERVER-120745","Fix test format for searchCoordinator fsync","Fiona Chang","Major - P3","Needs Verification","2026-03-03","https://jira.mongodb.org/browse/SERVER-120745"
"SERVER-74658","revisit if thread marked as unkillable is okay to be killable for sharding relat","Unassigned","Major - P3","Blocked","2026-04-06","https://jira.mongodb.org/browse/SERVER-74658"
"SERVER-98552","mongod-dump-sessions GDB pretty printer doesn't find any sessions","Unassigned","Major - P3","Blocked","2026-04-14","https://jira.mongodb.org/browse/SERVER-98552"
"SERVER-121284","Update AGENTS.md with coding workflows and exemption for temporary edits","Mathias Stearn","Major - P3","In Code Review","2026-03-10","https://jira.mongodb.org/browse/SERVER-121284"
"SERVER-112904","Verify that UWE has sufficient unit test coverage","Unassigned","Major - P3","Backlog","2026-04-22","https://jira.mongodb.org/browse/SERVER-112904"
"SERVER-109675","Audit resmoke suites for unexpected state persisting after tests complete","Evan Bergeron","Major - P3","In Code Review","2026-03-10","https://jira.mongodb.org/browse/SERVER-109675"
"SERVER-120681","Reduce hot/cold BF thresholds for C&I","Ryan Chipman","Major - P3","In Code Review","2026-04-28","https://jira.mongodb.org/browse/SERVER-120681"
"SERVER-120620","Miscellaneous small fixes from core module visibility marking","Unassigned","Major - P3","Open","2026-05-05","https://jira.mongodb.org/browse/SERVER-120620"
"SERVER-121546","[v7.0] Remove unnecessary timeseries write path invariants","Matt Kneiser","Major - P3","Needs Merge","2026-05-11","https://jira.mongodb.org/browse/SERVER-121546"
"SERVER-120240","Fix sharding passthrough suites not including jstests/core_sharding/","Yujin Kang Park","Major - P3","Needs Merge","2026-03-05","https://jira.mongodb.org/browse/SERVER-120240"
"SERVER-113923","Change index bounds builder check for multkey paths with $expr comparison from t","Peter Volk","Major - P3","Investigating","2026-05-14","https://jira.mongodb.org/browse/SERVER-113923"
"SERVER-104800","Remove obsolete stdx polyfills","Alex Li","Major - P3","In Code Review","2026-04-30","https://jira.mongodb.org/browse/SERVER-104800"
